step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/min_reward,train/mean_reward,train/max_reward,train/accuracy,train/margin,train/epoch,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second,train/total_flos,train/train_loss
10,0.7260000109672546,9.165966987609863,1.2689999948634068e-06,64714.0,-3.0390625,-1.4769999980926514,0.15564575791358948,0.6499999761581421,0.43961864709854126,0.013898540288209915,,,,,
20,0.6258999705314636,6.756762504577637,2.679000090211048e-06,127072.0,-3.140625,-1.4612079858779907,0.62261962890625,0.75,0.7136848568916321,0.02779708057641983,,,,,
30,0.6348999738693237,8.13606071472168,4.088999958185013e-06,189571.0,-3.258593797683716,-1.3448606729507446,0.5772339105606079,0.7250000238418579,0.6412532925605774,0.041695620864629745,,,,,
40,0.6098999977111816,5.899132251739502,5.499000053532654e-06,255992.0,-3.1796875,-1.4264228343963623,0.5973144769668579,0.75,0.7317550778388977,0.05559416115283966,,,,,
50,0.6136000156402588,7.394536972045898,6.9090001488802955e-06,325586.0,-2.957812547683716,-1.2342331409454346,1.0894043445587158,0.7437499761581421,0.7416046261787415,0.06949270516633987,,,,,
60,0.5328999757766724,7.281914710998535,8.318999789480586e-06,390900.0,-3.1460938453674316,-0.9802339673042297,1.162109375,0.800000011920929,0.9464374780654907,0.08339124172925949,,,,,
70,0.43369999527931213,6.109432220458984,9.729000339575578e-06,451661.0,-3.223437547683716,-0.9156962633132935,1.1854979991912842,0.875,1.2463738918304443,0.0972897857427597,,,,,
80,0.31380000710487366,4.27314567565918,1.1138999980175868e-05,519226.0,-3.494140625,-0.5789530873298645,1.7355468273162842,0.9125000238418579,1.7746508121490479,0.11118832230567932,,,,,
90,0.2623000144958496,3.573145866394043,1.2548999620776158e-05,582072.0,-3.9554686546325684,-0.6104417443275452,1.9953124523162842,0.9375,2.2642452716827393,0.12508685886859894,,,,,
100,0.2379000037908554,6.826625823974609,1.395900017087115e-05,651835.0,-3.885937452316284,-0.4255407452583313,2.5648436546325684,0.9312499761581421,2.7014529705047607,0.13898541033267975,,,,,
110,0.1687999963760376,1.353742241859436,1.4099336112849414e-05,713380.0,-3.823437452316284,-0.030096912756562233,2.9007811546325684,0.9437500238418579,3.146169424057007,0.15288394689559937,,,,,
