step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/completions/mean_length,train/completions/min_length,train/completions/max_length,train/completions/clipped_ratio,train/completions/mean_terminated_length,train/completions/min_terminated_length,train/completions/max_terminated_length,train/rewards/reward_fn/mean,train/rewards/reward_fn/std,train/reward,train/reward_std,train/frac_reward_zero_std,train/entropy,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/high_mean,train/clip_ratio/high_max,train/clip_ratio/region_mean,train/epoch
160,0.2232999950647354,0.1830601692199707,4.999806606065249e-06,135903.0,76.9749984741211,3.0,205.0,0.22499999403953552,28.79142951965332,3.0,72.5999984741211,3.7158761024475098,0.6743120551109314,3.7158761024475098,0.30591171979904175,0.4000000059604645,0.6205965280532837,0.0,0.0,0.0,0.0,0.0,0.03200000151991844
170,0.07590000331401825,0.0,4.99973521073116e-06,144053.0,66.5999984741211,1.0,205.0,0.20000000298023224,19.576190948486328,1.0,92.0,3.6598284244537354,0.9898819327354431,3.6598284244537354,0.18500970304012299,0.6000000238418579,0.6457737684249878,0.0,0.0,0.0,0.0,0.0,0.03400000184774399
180,0.17550000548362732,0.13065005838871002,4.999653356208e-06,153301.0,68.44999694824219,1.0,212.0,0.20000000298023224,20.97976303100586,1.0,76.4000015258789,3.531904697418213,1.172566533088684,3.531904697418213,0.45427343249320984,0.550000011920929,0.7864621877670288,0.0,0.0,0.0,0.0,0.0,0.035999998450279236
190,0.1648000031709671,0.08769825100898743,4.999559678253718e-06,161386.0,58.17499923706055,1.0,256.0,0.17499999701976776,15.800000190734863,1.0,74.80000305175781,3.478017568588257,1.3196593523025513,3.478017568588257,0.5305231213569641,0.550000011920929,0.7458685040473938,0.0,0.0,0.0,0.0,0.0,0.03799999877810478
200,0.10409999638795853,0.32720431685447693,4.999455541110365e-06,172977.0,91.4749984741211,5.199999809265137,217.8000030517578,0.30000001192092896,24.829999923706055,5.199999809265137,61.400001525878906,3.514849901199341,1.1493425369262695,3.514849901199341,0.36184456944465637,0.3499999940395355,0.9383997917175293,0.0,0.0,0.0,0.0,0.0,0.03999999910593033
210,0.021199999377131462,0.14964339137077332,4.999339580535889e-06,181207.0,43.5,1.0,110.4000015258789,0.10000000149011612,24.538572311401367,1.0,93.80000305175781,3.6981699466705322,0.8732509613037109,3.6981699466705322,0.19347894191741943,0.6000000238418579,0.8052082061767578,0.0,0.0,0.0,0.0,0.0,0.041999999433755875
220,0.22429999709129333,0.6162427663803101,4.999213160772342e-06,187238.0,18.875,1.0,105.0,0.02500000037252903,12.699999809265137,1.0,58.599998474121094,3.957791566848755,0.5600563287734985,3.957791566848755,0.2540055811405182,0.6000000238418579,0.6072682738304138,0.0,0.0,0.0,0.0,0.0,0.04399999976158142
230,0.0272000003606081,0.07942691445350647,4.999075372325024e-06,198507.0,72.375,1.0,207.60000610351562,0.25,11.15000057220459,1.0,42.400001525878906,3.6068873405456543,1.2336338758468628,3.6068873405456543,0.19581535458564758,0.6499999761581421,0.9844966530799866,0.0,0.0,0.0,0.0,0.0,0.04600000008940697
240,-0.019899999722838402,0.16999556124210358,4.998926215193933e-06,209197.0,77.0,1.0,218.8000030517578,0.25,16.63333511352539,1.0,62.0,3.539044141769409,0.7570432424545288,3.539044141769409,0.17285512387752533,0.6000000238418579,1.040927767753601,0.0,0.0,0.0,0.0,0.0,0.04800000041723251
250,0.16089999675750732,0.16889160871505737,4.998766598873772e-06,217449.0,82.69999694824219,1.0,213.1999969482422,0.25,22.40333366394043,1.0,91.4000015258789,3.69693660736084,0.9848165512084961,3.69693660736084,0.3685775101184845,0.44999998807907104,0.7885154485702515,0.0,0.0,0.0,0.0,0.0,0.05000000074505806
260,0.16850000619888306,0.044247403740882874,4.9985951591224875e-06,227321.0,38.849998474121094,1.0,177.0,0.10000000149011612,13.949999809265137,1.0,83.80000305175781,3.6080477237701416,0.8044366836547852,3.6080477237701416,0.13041560351848602,0.699999988079071,0.8130117654800415,0.0,0.0,0.0,0.0,0.0,0.052000001072883606
270,0.24699999392032623,0.0,4.998413260182133e-06,235796.0,49.32500076293945,1.2000000476837158,196.60000610351562,0.125,20.00642967224121,1.2000000476837158,72.4000015258789,3.8647611141204834,0.5713311433792114,3.8647611141204834,0.28082895278930664,0.550000011920929,0.5313917994499207,0.0,0.0,0.0,0.0,0.0,0.05400000140070915
280,0.18940000236034393,0.0,4.998219537810655e-06,243743.0,40.974998474121094,1.0,205.0,0.125,10.404762268066406,1.0,57.79999923706055,3.8439993858337402,0.7405328154563904,3.8439993858337402,0.25167545676231384,0.6499999761581421,0.9504489898681641,0.0,0.0,0.0,0.0,0.0,0.0560000017285347
290,0.06360000371932983,0.29905974864959717,4.998015356250107e-06,252273.0,54.5,2.4000000953674316,147.0,0.15000000596046448,18.141666412353516,2.4000000953674316,74.80000305175781,3.7966482639312744,0.7647325396537781,3.7966482639312744,0.30919578671455383,0.550000011920929,0.6940392851829529,0.0,0.0,0.0,0.0,0.0,0.057999998331069946
300,0.1459999978542328,0.39966484904289246,4.997799806005787e-06,262807.0,79.0999984741211,1.0,236.60000610351562,0.22499999403953552,27.967857360839844,1.0,135.8000030517578,3.5942001342773438,0.7994756102561951,3.5942001342773438,0.4100508391857147,0.30000001192092896,0.8777303695678711,0.0,0.0,0.0,0.0,0.0,0.05999999865889549
310,0.19930000603199005,0.1299430876970291,4.997572887077695e-06,270502.0,31.424999237060547,1.0,154.0,0.10000000149011612,6.766666889190674,1.0,19.799999237060547,3.8766613006591797,0.6151666045188904,3.8766613006591797,0.20724265277385712,0.699999988079071,0.6464089155197144,0.0,0.0,0.0,0.0,0.0,0.06199999898672104
320,0.1039000004529953,0.11402280628681183,4.997335508960532e-06,278525.0,60.724998474121094,1.0,211.8000030517578,0.17499999701976776,18.61404800415039,1.0,66.4000015258789,3.7983434200286865,0.9296262264251709,3.7983434200286865,0.4954708516597748,0.25,0.8766975402832031,0.0,0.0,0.0,0.0,0.0,0.06400000303983688
330,0.26350000500679016,0.20390528440475464,4.997086307412246e-06,283872.0,40.025001525878906,1.0,238.39999389648438,0.10000000149011612,15.532143592834473,1.0,81.5999984741211,3.8648014068603516,0.4910581707954407,3.8648014068603516,0.13596311211585999,0.44999998807907104,0.7115442156791687,0.0,0.0,0.0,0.0,0.0,0.06599999964237213
340,-0.03620000183582306,0.36172106862068176,4.99682664667489e-06,293531.0,67.7249984741211,1.0,167.1999969482422,0.22499999403953552,13.936666488647461,1.0,48.599998474121094,3.9181225299835205,0.5154540538787842,3.9181225299835205,0.23085105419158936,0.4000000059604645,1.0295922756195068,0.0,0.0,0.0,0.0,0.0,0.06800000369548798
350,0.047200001776218414,0.05363413691520691,4.996555617253762e-06,304001.0,96.8499984741211,10.600000381469727,205.0,0.2750000059604645,50.4952392578125,10.600000381469727,117.19999694824219,3.7025208473205566,0.5915180444717407,3.7025208473205566,0.24334990978240967,0.4000000059604645,0.5849136710166931,0.0,0.0,0.0,0.0,0.0,0.07000000029802322
360,0.07890000194311142,0.1261308491230011,4.996273219148861e-06,316666.0,108.125,1.0,256.0,0.375,19.57666778564453,1.0,43.0,3.446040630340576,1.1517387628555298,3.446040630340576,0.6407671570777893,0.3499999940395355,0.7508450150489807,0.0,0.0,0.0,0.0,0.0,0.07199999690055847
370,0.06279999762773514,0.11312997341156006,4.9959799071075395e-06,327393.0,94.07499694824219,1.0,248.0,0.32499998807907104,12.358333587646484,1.0,55.400001525878906,3.468017578125,1.0799965858459473,3.468017578125,0.5507694482803345,0.4000000059604645,0.8747615814208984,0.0,0.0,0.0,0.0,0.0,0.07400000095367432
380,0.20559999346733093,0.0,4.9956756811297964e-06,333757.0,40.849998474121094,1.0,162.1999969482422,0.125,10.854762077331543,1.0,43.79999923706055,4.060061454772949,0.6100077033042908,4.060061454772949,0.330771803855896,0.6000000238418579,0.5044397711753845,0.0,0.0,0.0,0.0,0.0,0.07599999755620956
390,0.14390000700950623,0.15366163849830627,4.995360086468281e-06,345710.0,66.17500305175781,1.0,230.60000610351562,0.20000000298023224,16.603572845458984,1.0,86.19999694824219,3.4410810470581055,1.268757700920105,3.4410810470581055,0.668236494064331,0.550000011920929,1.2852808237075806,0.0,0.0,0.0,0.0,0.0,0.07800000160932541
400,0.25099998712539673,0.12325523048639297,4.995033577870345e-06,353275.0,92.2249984741211,1.0,228.0,0.25,38.30452346801758,1.0,136.1999969482422,3.5633466243743896,1.2205003499984741,3.5633466243743896,0.6756283044815063,0.3499999940395355,0.6444528102874756,0.0,0.0,0.0,0.0,0.0,0.07999999821186066
410,0.14980000257492065,0.189846932888031,4.994696155335987e-06,361156.0,44.474998474121094,1.0,165.39999389648438,0.125,13.842857360839844,1.0,70.80000305175781,3.657470464706421,1.007961630821228,3.657470464706421,0.3760564923286438,0.6000000238418579,0.5939880013465881,0.0,0.0,0.0,0.0,0.0,0.0820000022649765
420,0.0982000008225441,0.08403043448925018,4.994347364117857e-06,367479.0,61.125,1.0,210.8000030517578,0.17499999701976776,18.490001678466797,1.0,81.4000015258789,3.9586195945739746,0.5867218375205994,3.9586195945739746,0.2743646800518036,0.4000000059604645,0.9868737459182739,0.0,0.0,0.0,0.0,0.0,0.08399999886751175
