step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/min_reward,train/mean_reward,train/max_reward,train/accuracy,train/margin,train/epoch,train/train_runtime,train/train_samples_per_second,train/train_steps_per_second,train/total_flos,train/train_loss
10,0.8281000256538391,76.88190460205078,1.2689999948634068e-06,115601.0,-1.67230224609375,-0.33918333053588867,0.693371593952179,0.48124998807907104,-0.036210060119628906,0.0030385900754481554,,,,,
20,0.7129999995231628,72.46660614013672,2.679000090211048e-06,240034.0,-0.8187621831893921,0.1348244696855545,0.957141101360321,0.5687500238418579,0.12454547733068466,0.006077180150896311,,,,,
30,0.6599000096321106,53.944156646728516,4.088999958185013e-06,368814.0,-1.088934302330017,0.0540323480963707,1.0195337533950806,0.6499999761581421,0.32390522956848145,0.00911577045917511,,,,,
40,0.6592000126838684,35.073089599609375,5.499000053532654e-06,494324.0,-1.395410180091858,-0.014146613888442516,0.96575927734375,0.675000011920929,0.3694736361503601,0.012154360301792622,,,,,
50,0.6796000003814697,19.386028289794922,6.9090001488802955e-06,625743.0,-1.1068938970565796,-0.10281429439783096,0.8822997808456421,0.625,0.25793951749801636,0.015192950144410133,,,,,
60,0.6575999855995178,22.152048110961914,8.318999789480586e-06,742196.0,-1.1199462413787842,-0.07090435177087784,1.0958983898162842,0.612500011920929,0.27069205045700073,0.01823154091835022,,,,,
70,0.6480000019073486,12.164807319641113,9.729000339575578e-06,858319.0,-0.678967297077179,0.05312766879796982,0.79400634765625,0.612500011920929,0.22569790482521057,0.021270129829645157,,,,,
80,0.6388000249862671,19.085111618041992,1.1138999980175868e-05,990611.0,-1.070593237876892,-0.02334544062614441,0.9942008852958679,0.625,0.32325196266174316,0.024308720603585243,,,,,
90,0.5936999917030334,39.950347900390625,1.2548999620776158e-05,1114375.0,-1.424951195716858,0.005499839782714844,1.2198364734649658,0.7124999761581421,0.6196147799491882,0.02734731137752533,,,,,
100,0.7366999983787537,24.41051483154297,1.395900017087115e-05,1238972.0,-1.1927001476287842,-0.13300247490406036,0.9508422613143921,0.6312500238418579,0.28299713134765625,0.030385900288820267,,,,,
110,0.6509000062942505,16.986072540283203,1.4099970940151252e-05,1362275.0,-0.6023498773574829,0.06791892647743225,0.729992687702179,0.6875,0.26859772205352783,0.033424489200115204,,,,,
120,0.650600016117096,12.877150535583496,1.4099868167249952e-05,1476029.0,-1.244042992591858,0.025113392621278763,1.1390869617462158,0.65625,0.36404475569725037,0.03646308183670044,,,,,
130,0.6036999821662903,15.546343803405762,1.4099693544267211e-05,1587306.0,-0.91583251953125,-0.002456283662468195,0.716174304485321,0.731249988079071,0.3387344479560852,0.03950167074799538,,,,,
